Well,Cycle,BLUE,GREEN,YELLOW,RED
H10,5,102422,41352,18953,7399
H11,5,86094,36108,16565,6409
H12,5,82742,33321,15078,5706
A1,6,39418,15827,7677,3530
A2,6,38299,15283,7298,3263
A3,6,76626,29878,13406,5050
A4,6,87037,34161,15464,5882
A5,6,84295,32863,14716,5448
A6,6,94768,36944,16427,6034
A7,6,93563,36552,16374,6150
A8,6,80556,31831,14447,5472
A9,6,79836,31581,14264,5435
A10,6,88776,35064,15723,5910
A11,6,80735,32034,14317,5276
A12,6,88770,35102,15409,5442
B1,6,33257,13532,6786,3299
B2,6,36441,14918,7542,3762
B3,6,78168,30626,13710,5110
B4,6,88257,34650,15827,6257
B5,6,86136,34013,15577,6094
B6,6,85122,33552,15163,5731
B7,6,96343,38060,17305,6575
B8,6,92010,36386,16485,6311
B9,6,82682,33518,15234,5804
B10,6,96327,38137,17114,6441
B11,6,79150,31596,14176,5283
B12,6,110305,43630,19806,8298
C1,6,39735,15981,7946,3813
C2,6,35909,14313,6842,3082
C3,6,87915,34400,15521,5953
C4,6,91892,36136,16185,5849
C5,6,93216,36385,16367,6256
C6,6,98291,38398,17280,6555
C7,6,93622,36333,16093,5912
C8,6,86201,34138,15570,6001
C9,6,89691,35523,16129,6096
C10,6,82593,32729,14762,5489
C11,6,92075,36424,16512,6378
C12,6,104872,41830,18976,7233
D1,6,39792,16156,8058,3989
D2,6,41363,16721,8289,3936
D3,6,90893,35974,16596,6724
D4,6,89762,35353,16109,6294
D5,6,99280,38897,17639,6786
D6,6,98547,39006,17915,7102
D7,6,91654,36185,16591,6515
D8,6,89099,35194,16019,6219
D9,6,92099,36540,16644,6418
D10,6,90279,35562,15884,5909
D11,6,89215,35546,16205,6548
D12,6,103697,41564,18729,6903
E1,6,37609,15144,7370,3372
E2,6,42317,17200,8534,4038
E3,6,93144,36724,16658,6371
E4,6,93983,36771,16603,6357
E5,6,97003,38292,17458,6800
E6,6,95271,37592,17133,6672
E7,6,98519,38480,17342,6599
E8,6,100454,39213,17476,6538
E9,6,86793,34701,15694,5831
E10,6,90902,35954,16216,6172
E11,6,87274,34660,15689,5991
E12,6,107098,42634,19232,7253
F1,6,37909,15511,7771,3768
F2,6,37490,15112,7396,3401
F3,6,83710,33021,15020,5847
F4,6,84962,33696,15438,6076
F5,6,89393,35355,16069,6166
F6,6,96568,37923,17072,6450
F7,6,93508,36635,16470,6209
F8,6,94986,37259,16751,6313
F9,6,97437,38263,17024,6170
F10,6,92845,36773,16560,6271
F11,6,82697,32877,14831,5660
F12,6,110388,43819,19627,7256
G1,6,40035,16167,7790,3495
G2,6,42414,17133,8334,3775
G3,6,81358,32472,14928,5791
G4,6,90080,35844,16572,6724
G5,6,90988,36082,16457,6338
G6,6,84987,33879,15726,6253
G7,6,90659,35709,16104,6076
G8,6,88738,34783,15683,6045
G9,6,90151,35683,16022,5910
G10,6,91688,36320,16382,6131
G11,6,94548,37487,16755,6177
G12,6,118689,48460,23174,9939
